I,Vout,V,D,P,Irradiance,Temperature
7.155251766151849,55.0999680750178,25.6788256931148,535,189.195497724747,998,50
6.674765532892799,59.599781505371894,31.630859693053697,473,221.586534732971,998,13
3.86253472352222,44.4389557608268,30.4896020172807,313,123.443487614202,547,13
3.77273418462422,42.9084548007058,29.0441617019067,321,114.83570930536301,547,31
6.67337682021141,56.7557842723638,28.856654302449197,0.48700000000000004,200.508471380767,968,31
6.61772780810515,56.80532080930429,29.1499978783186,491,201.213459826396,968,30
4.0452013199716905,44.89318191762,29.5139303650467,0.34299999999999997,125.70690033868401,597,30
4.262285042513049,44.7813591944802,28.1009495883244,371,125.259740507652,597,31
7.04824726720993,59.1542428210869,29.3203852440658,503,217.896350305999,1056,31
7.73802884067309,55.3378934989758,24.0052793632861,569,191.159046323773,1056,59
3.84316537885749,39.6950827751196,24.570614357137398,0.38299999999999995,98.3593632881905,533,59
